Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
DECCAN CHARGERS,ROYAL CHALLENGERS BENGALURU,"Mar 18, Thu",2010,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Royal Challengers Bangalore won by 5 wickets (with 6 balls remaining)
KOLKATA KNIGHT RIDERS,PUNJAB KINGS,"Mar 19, Fri",2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 3 wickets (with 2 balls remaining)
RAJASTHAN ROYALS,MUMBAI INDIANS,"Mar 20, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 5 wickets (with 0 balls remaining)
DECCAN CHARGERS,CHENNAI SUPER KINGS,"Mar 21, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Chennai Super Kings won by 7 wickets (with 4 balls remaining)
ROYAL CHALLENGERS BENGALURU,MUMBAI INDIANS,"Mar 22, Mon",2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Mumbai Indians won by 9 wickets (with 12 balls remaining)
PUNJAB KINGS,RAJASTHAN ROYALS,"Mar 23, Tue",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 41 runs
DELHI CAPITALS,RAJASTHAN ROYALS,"Mar 24, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Rajasthan Royals won by 105 runs
CHENNAI SUPER KINGS,PUNJAB KINGS,"Mar 25, Thu",2010,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Chennai Super Kings won by 9 wickets (with 31 balls remaining)
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,"Mar 26, Fri",2010,02:45 PM GMT / 08:15 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Rajasthan Royals won by 3 wickets (with 0 balls remaining)
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,"Mar 27, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Kolkata Knight Riders won by 11 runs
MUMBAI INDIANS,RAJASTHAN ROYALS,"Mar 28, Sun",2010,09:30 AM GMT / 03:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 4 runs
PUNJAB KINGS,DELHI CAPITALS,"Mar 29, Mon",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Delhi Daredevils won by 5 wickets (with 1 ball remaining)
