Team1,Team2,Time,Place,Result,winning_team,win_margin,win_type,winning_team,win_margin,win_type
PBKS,RR,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rajasthan Royals won by 31 runs,RR,31.0,runs,RR,31.0,runs
RCB,DC,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils won by 17 runs,DC,17.0,runs,DD,17.0,runs
MI,CSK,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians won by 5 wickets (with 6 balls remaining),MI,5.0,wickets,MI,5.0,wickets
RR,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals won by 8 wickets (with 26 balls remaining),RR,8.0,wickets,RR,8.0,wickets
PBKS,KKR,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders won by 39 runs,KKR,39.0,runs,KKR,39.0,runs
RR,CSK,10:30 AM GMT / 04:00 PM LOCAL,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals won by 17 runs,RR,17.0,runs,RR,17.0,runs
DCG,MI,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai Indians won by 41 runs,MI,41.0,runs,MI,41.0,runs
DC,KKR,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Daredevils won by 40 runs,DC,40.0,runs,DD,40.0,runs
MI,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians won by 4 wickets (with 3 balls remaining),MI,4.0,wickets,MI,4.0,wickets
CSK,RCB,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 5 wickets (with 7 balls remaining),CSK,5.0,wickets,CSK,5.0,wickets
DC,RR,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Daredevils won by 67 runs,DC,67.0,runs,DD,67.0,runs
KKR,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 24 runs,KKR,24.0,runs,KKR,24.0,runs
PBKS,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore won by 6 wickets (with 5 balls remaining),RCB,6.0,wickets,RCB,6.0,wickets
CSK,RR,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 23 runs,CSK,23.0,runs,CSK,23.0,runs
MI,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians won by 63 runs,MI,63.0,runs,MI,63.0,runs
KKR,PBKS,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kings XI Punjab won by 8 wickets (with 10 balls remaining),PBKS,8.0,wickets,KXIP,8.0,wickets
DC,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Daredevils won by 37 runs,DC,37.0,runs,DD,37.0,runs
DCG,RR,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Rajasthan Royals won by 2 runs,RR,2.0,runs,RR,2.0,runs
CSK,MI,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 24 runs,CSK,24.0,runs,CSK,24.0,runs
RR,PBKS,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 9 wickets (with 30 balls remaining),RR,9.0,wickets,RR,9.0,wickets
KKR,DC,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 14 runs,KKR,14.0,runs,KKR,14.0,runs
RCB,DCG,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers won by 7 wickets (with 4 balls remaining),DCG,7.0,wickets,DCG,7.0,wickets
PBKS,MI,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab won by 6 wickets (with 4 balls remaining),PBKS,6.0,wickets,KXIP,6.0,wickets
DCG,CSK,10:30 AM GMT / 04:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Deccan Chargers won by 6 wickets (with 5 balls remaining),DCG,6.0,wickets,DCG,6.0,wickets
RCB,KKR,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore won by 7 wickets (with 17 balls remaining),RCB,7.0,wickets,RCB,7.0,wickets
DC,PBKS,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kings XI Punjab won by 7 wickets (with 8 balls remaining),PBKS,7.0,wickets,KXIP,7.0,wickets
RR,MI,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians won by 37 runs,MI,37.0,runs,MI,37.0,runs
DCG,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Vidarbha Cricket Association Stadium, Nagpur",Deccan Chargers won by 13 runs,DCG,13.0,runs,DCG,13.0,runs
MI,DC,10:30 AM GMT / 04:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians won by 39 runs,MI,39.0,runs,MI,39.0,runs
CSK,KKR,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 9 wickets (with 39 balls remaining),CSK,9.0,wickets,CSK,9.0,wickets
RR,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore won by 5 wickets (with 26 balls remaining),RCB,5.0,wickets,RCB,5.0,wickets
CSK,DC,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Delhi Daredevils won by 6 wickets (with 8 balls remaining),DC,6.0,wickets,DD,6.0,wickets
PBKS,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers won by 5 wickets (with 5 balls remaining),DCG,5.0,wickets,DCG,5.0,wickets
RCB,MI,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians won by 57 runs,MI,57.0,runs,MI,57.0,runs
KKR,RR,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 8 wickets (with 23 balls remaining),KKR,8.0,wickets,KKR,8.0,wickets
PBKS,CSK,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings won by 6 wickets (with 2 balls remaining),CSK,6.0,wickets,CSK,6.0,wickets
DC,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Deccan Chargers won by 11 runs,DCG,11.0,runs,DCG,11.0,runs
KKR,MI,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 9 wickets (with 15 balls remaining),KKR,9.0,wickets,KKR,9.0,wickets
RCB,MI,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai Indians won by 35 runs,MI,35.0,runs,MI,35.0,runs
CSK,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Chennai Super Kings won by 38 runs,CSK,38.0,runs,CSK,38.0,runs
RCB,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Royal Challengers Bangalore won by 9 wickets (with 37 balls remaining),RCB,9.0,wickets,RCB,9.0,wickets
CSK,MI,03:00 PM GMT / 08:30 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Chennai Super Kings won by 22 runs,CSK,22.0,runs,CSK,22.0,runs
