Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
DC,MI,"Mar 17, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 5 wickets (with 1 ball remaining)
DCG,RCB,"Mar 18, Thu",2010,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Royal Challengers Bangalore won by 5 wickets (with 6 balls remaining)
KKR,PBKS,"Mar 19, Fri",2010,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 3 wickets (with 2 balls remaining)
RR,MI,"Mar 20, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 5 wickets (with 0 balls remaining)
DCG,CSK,"Mar 21, Sun",2010,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Chennai Super Kings won by 7 wickets (with 4 balls remaining)
RCB,MI,"Mar 22, Mon",2010,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Mumbai Indians won by 9 wickets (with 12 balls remaining)
PBKS,RR,"Mar 23, Tue",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 41 runs
DC,RR,"Mar 24, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Rajasthan Royals won by 105 runs
CSK,PBKS,"Mar 25, Thu",2010,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Chennai Super Kings won by 9 wickets (with 31 balls remaining)
CSK,RR,"Mar 26, Fri",2010,02:45 PM GMT / 08:15 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Rajasthan Royals won by 3 wickets (with 0 balls remaining)
DCG,KKR,"Mar 27, Sat",2010,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Kolkata Knight Riders won by 11 runs
MI,RR,"Mar 28, Sun",2010,09:30 AM GMT / 03:00 PM LOCAL,"Brabourne Stadium, Mumbai",Unknown,Unknown,Mumbai Indians won by 4 runs
PBKS,DC,"Mar 29, Mon",2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Delhi Daredevils won by 5 wickets (with 1 ball remaining)
KKR,RCB,"Mar 30, Tue",2010,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 7 wickets (with 4 balls remaining)
CSK,DCG,"Mar 31, Wed",2010,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Deccan Chargers won by 31 runs
